Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player,RSorPO
2014-15,30,CLE,NBA,SF,20,20,844,227,544,0.417,25,110,0.227,202,434,0.465,0.44,122,167,0.731,37,189,226,169,33,21,82,58,601,Lebron James,Playoffs
2015-16,31,CLE,NBA,SF,21,21,822,219,417,0.525,32,94,0.34,187,323,0.579,0.564,82,124,0.661,42,158,200,160,49,27,75,54,552,Lebron James,Playoffs
2016-17,32,CLE,NBA,SF,18,18,744,217,384,0.565,44,107,0.411,173,277,0.625,0.622,113,162,0.698,19,145,164,141,35,23,72,43,591,Lebron James,Playoffs
2017-18,33,CLE,NBA,PF,22,22,922,275,510,0.539,39,114,0.342,236,396,0.596,0.577,159,213,0.746,31,169,200,198,30,23,94,52,748,Lebron James,Playoffs
2019-20,35,LAL,NBA,PG,21,21,762,214,382,0.56,44,119,0.37,170,263,0.646,0.618,108,150,0.72,28,198,226,184,26,18,84,40,580,Lebron James,Playoffs
1984-85,21,CHI,NBA,SG,82,82,3144,837,1625,0.515,9,52,0.173,828,1573,0.526,0.518,630,746,0.845,167,367,534,481,196,69,291,285,2313,Michael Jordan,Regular Season
1985-86,22,CHI,NBA,SG,18,7,451,150,328,0.457,3,18,0.167,147,310,0.474,0.462,105,125,0.84,23,41,64,53,37,21,45,46,408,Michael Jordan,Regular Season
1986-87,23,CHI,NBA,SG,82,82,3281,1098,2279,0.482,12,66,0.182,1086,2213,0.491,0.484,833,972,0.857,166,264,430,377,236,125,272,237,3041,Michael Jordan,Regular Season
1987-88,24,CHI,NBA,SG,82,82,3311,1069,1998,0.535,7,53,0.132,1062,1945,0.546,0.537,723,860,0.841,139,310,449,485,259,131,252,270,2868,Michael Jordan,Regular Season
1988-89,25,CHI,NBA,SG,81,81,3255,966,1795,0.538,27,98,0.276,939,1697,0.553,0.546,674,793,0.85,149,503,652,650,234,65,290,247,2633,Michael Jordan,Regular Season
1989-90,26,CHI,NBA,SG,82,82,3197,1034,1964,0.526,92,245,0.376,942,1719,0.548,0.55,593,699,0.848,143,422,565,519,227,54,247,241,2753,Michael Jordan,Regular Season
1990-91,27,CHI,NBA,SG,82,82,3034,990,1837,0.539,29,93,0.312,961,1744,0.551,0.547,571,671,0.851,118,374,492,453,223,83,202,229,2580,Michael Jordan,Regular Season
1991-92,28,CHI,NBA,SG,80,80,3102,943,1818,0.519,27,100,0.27,916,1718,0.533,0.526,491,590,0.832,91,420,511,489,182,75,200,201,2404,Michael Jordan,Regular Season
1992-93,29,CHI,NBA,SG,78,78,3067,992,2003,0.495,81,230,0.352,911,1773,0.514,0.515,476,569,0.837,135,387,522,428,221,61,207,188,2541,Michael Jordan,Regular Season
1994-95,31,CHI,NBA,SG,17,17,668,166,404,0.411,16,32,0.5,150,372,0.403,0.431,109,136,0.801,25,92,117,90,30,13,35,47,457,Michael Jordan,Regular Season
1995-96,32,CHI,NBA,SG,82,82,3090,916,1850,0.495,111,260,0.427,805,1590,0.506,0.525,548,657,0.834,148,395,543,352,180,42,197,195,2491,Michael Jordan,Regular Season
1996-97,33,CHI,NBA,SG,82,82,3106,920,1892,0.486,111,297,0.374,809,1595,0.507,0.516,480,576,0.833,113,369,482,352,140,44,166,156,2431,Michael Jordan,Regular Season
1997-98,34,CHI,NBA,SG,82,82,3181,881,1893,0.465,30,126,0.238,851,1767,0.482,0.473,565,721,0.784,130,345,475,283,141,45,185,151,2357,Michael Jordan,Regular Season
2001-02,38,WAS,NBA,SF,60,53,2093,551,1324,0.416,10,53,0.189,541,1271,0.426,0.42,263,333,0.79,50,289,339,310,85,26,162,119,1375,Michael Jordan,Regular Season
2002-03,39,WAS,NBA,SF,82,67,3031,679,1527,0.445,16,55,0.291,663,1472,0.45,0.45,266,324,0.821,71,426,497,311,123,39,173,171,1640,Michael Jordan,Regular Season
1984-85,21,CHI,NBA,SG,4,4,171,34,78,0.436,1,8,0.125,33,70,0.471,0.442,48,58,0.828,7,16,23,34,11,4,15,15,117,Michael Jordan,Playoffs
1985-86,22,CHI,NBA,SG,3,3,135,48,95,0.505,1,1,1,47,94,0.5,0.511,34,39,0.872,5,14,19,17,7,4,14,13,131,Michael Jordan,Playoffs
1986-87,23,CHI,NBA,SG,3,3,128,35,84,0.417,2,5,0.4,33,79,0.418,0.429,35,39,0.897,7,14,21,18,6,7,8,11,107,Michael Jordan,Playoffs
1987-88,24,CHI,NBA,SG,10,10,427,138,260,0.531,1,3,0.333,137,257,0.533,0.533,86,99,0.869,23,48,71,47,24,11,39,38,363,Michael Jordan,Playoffs
1988-89,25,CHI,NBA,SG,17,17,718,199,390,0.51,10,35,0.286,189,355,0.532,0.523,183,229,0.799,26,93,119,130,42,13,68,65,591,Michael Jordan,Playoffs
1989-90,26,CHI,NBA,SG,16,16,674,219,426,0.514,16,50,0.32,203,376,0.54,0.533,133,159,0.836,24,91,115,109,45,14,56,54,587,Michael Jordan,Playoffs
1990-91,27,CHI,NBA,SG,17,17,689,197,376,0.524,10,26,0.385,187,350,0.534,0.537,125,148,0.845,18,90,108,142,40,23,43,53,529,Michael Jordan,Playoffs
1991-92,28,CHI,NBA,SG,22,22,920,290,581,0.499,17,44,0.386,273,537,0.508,0.514,162,189,0.857,37,100,137,127,44,16,81,62,759,Michael Jordan,Playoffs
1992-93,29,CHI,NBA,SG,19,19,783,251,528,0.475,28,72,0.389,223,456,0.489,0.502,136,169,0.805,32,96,128,114,39,17,45,58,666,Michael Jordan,Playoffs
1994-95,31,CHI,NBA,SG,10,10,420,120,248,0.484,11,30,0.367,109,218,0.5,0.506,64,79,0.81,20,45,65,45,23,14,41,30,315,Michael Jordan,Playoffs
1995-96,32,CHI,NBA,SG,18,18,733,187,407,0.459,25,62,0.403,162,345,0.47,0.49,153,187,0.818,31,58,89,74,33,6,42,49,552,Michael Jordan,Playoffs
1996-97,33,CHI,NBA,SG,19,19,804,227,498,0.456,13,67,0.194,214,431,0.497,0.469,123,148,0.831,42,108,150,91,30,17,49,46,590,Michael Jordan,Playoffs
1997-98,34,CHI,NBA,SG,21,21,872,243,526,0.462,13,43,0.302,230,483,0.476,0.474,181,223,0.812,33,74,107,74,32,12,45,47,680,Michael Jordan,Playoffs
